scale,metric,n,mean_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
834,fullchain,15,1823.7,1504.5,2018.9,6573.9,924.9,6573.9
834,retrieval_cascade,60,12.1,12.0,14.2,14.8,9.7,15.2
834,tier1_qdrant,60,13.4,13.6,15.3,15.7,9.8,16.8
834,tier2_mysql,60,186.3,180.7,213.6,223.9,161.7,337.8
834,tier3_keyword,60,118.6,123.8,136.2,144.0,33.3,150.3
2000,fullchain,15,1561.4,1459.2,2046.8,2266.9,1222.0,2266.9
2000,retrieval_cascade,60,27.2,27.0,31.2,31.7,21.6,33.4
2000,tier1_qdrant,60,27.4,27.0,32.4,33.1,22.9,34.1
2000,tier2_mysql,60,508.8,496.2,591.2,604.3,464.3,658.8
2000,tier3_keyword,60,290.1,294.2,355.2,409.2,174.1,422.3
4000,fullchain,15,2169.0,1263.3,1893.9,14032.6,926.0,14032.6
4000,retrieval_cascade,60,56.4,56.9,66.3,68.0,40.1,71.1
4000,tier1_qdrant,60,59.3,58.7,68.8,70.2,45.3,77.2
4000,tier2_mysql,60,912.0,889.1,1053.4,1098.9,816.4,1111.9
4000,tier3_keyword,60,592.8,594.3,708.6,715.3,441.4,716.8
8000,fullchain,15,1637.8,1605.6,1796.5,2788.8,1183.9,2788.8
8000,retrieval_cascade,60,96.4,96.7,111.7,116.3,67.4,120.2
8000,tier1_qdrant,60,93.6,93.8,111.2,117.3,69.9,120.0
8000,tier2_mysql,60,2498.4,2485.9,2677.1,2823.9,2342.1,2906.8
8000,tier3_keyword,60,1696.7,1648.2,2113.1,2473.1,1497.0,2534.8
